"category_code","category_name","inner_code","inner_name","image_url","description","sort","created_at","updated_at","created_by","updated_by"
1,"contract type",1,"建物一時使用契約","","",1,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
1,"contract type",2,"定期借家契約","","",2,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
1,"contract type",3,"普通賃貸借","","",3,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
1,"contract type",4,"その他","","",4,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
2,"transaction type",1,"貸主","","",1,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
2,"transaction type",2,"その他","","",2,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
3,"asset type",1,"マンスリーマンション","","",1,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
3,"asset type",2,"ウィークリーマンション・民泊","","",2,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
3,"asset type",3,"家具付き賃貸","","",3,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
3,"asset type",4,"シェアハウス","","",4,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
3,"asset type",5,"その他","","",5,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
4,"max capacity",1,"1人","","",1,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
4,"max capacity",2,"2人","","",2,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
4,"max capacity",3,"3人","","",3,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
4,"max capacity",4,"4人","","",4,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
4,"max capacity",5,"5人","","",5,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
4,"max capacity",6,"6人","","",6,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
4,"max capacity",7,"7人","","",7,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
4,"max capacity",8,"8人","","",8,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
5,"floor plan",1,"1R","","",1,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
5,"floor plan",2,"1K","","",2,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
5,"floor plan",3,"1DK","","",3,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
5,"floor plan",4,"1LDK","","",4,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
5,"floor plan",5,"2K","","",5,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
5,"floor plan",6,"2DK","","",6,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
5,"floor plan",7,"2LDK","","",7,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
5,"floor plan",8,"3K","","",8,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
5,"floor plan",9,"3DK","","",9,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
5,"floor plan",10,"3LDK","","",10,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
5,"floor plan",11,"3LDK以上","","",11,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
6,"room direction",1,"タイプによって異なる","","",1,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
6,"room direction",2,"北","","",2,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
6,"room direction",3,"北東","","",3,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
6,"room direction",4,"東","","",4,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
6,"room direction",5,"南東","","",5,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
6,"room direction",6,"南","","",6,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
6,"room direction",7,"南西","","",7,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
6,"room direction",8,"西","","",8,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
6,"room direction",9,"北西","","",9,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
7,"key type",1,"鍵","","",1,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
7,"key type",2,"電子キー","","",2,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
7,"key type",3,"カードキー","","",3,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
7,"key type",4,"スマートロック","","",4,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
7,"key type",5,"その他","","",5,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
8,"room facility",1,"インターネット対応","","",1,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
8,"room facility",2,"バス・トイレ別","","",2,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
8,"room facility",3,"クローゼット","","",3,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
8,"room facility",4,"フローリング","","",4,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
8,"room facility",5,"浴室乾燥機","","",5,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
8,"room facility",6,"清掃機能付き便座","","",6,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
8,"room facility",7,"ベランダ","","",7,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
8,"room facility",8,"独立洗面台","","",8,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
8,"room facility",9,"ロフト","","",9,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
9,"home appliances",1,"冷蔵庫","","",1,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
9,"home appliances",2,"洗濯機","","",2,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
9,"home appliances",3,"電子レンジ","","",3,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
9,"home appliances",4,"テレビ・テレビ台","","",4,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
9,"home appliances",5,"掃除機","","",5,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
9,"home appliances",6,"炊飯器","","",6,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
9,"home appliances",7,"ドライヤー","","",7,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
9,"home appliances",8,"暖房器具","","",8,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
9,"home appliances",9,"ガスコンロ","","",9,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
9,"home appliances",10,"扇風機","","",10,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
9,"home appliances",11,"エアコン","","",11,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
9,"home appliances",12,"アイロン","","",12,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
10,"furniture",1,"ベッド","","",1,"2024-08-21 23:48:03","2024-08-21 23:48:03",0,0
